feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni
liwc_work,-0.6784256407851735,0.35533746269136207,-1.3748742700180885,0.018022988447741306,0.056230723466959016,348.0,104.0,0.28115361733479505,1.0
liwc_female,0.7864876803170083,0.42156060838342463,-0.03975592941529793,1.6127312900493145,0.06208930944364881,348.0,104.0,0.2963353405265057,1.0
liwc_dictionary_words,-0.634603104295854,0.34385848015277476,-1.3085533411739734,0.03934713258226552,0.0649596488242119,348.0,104.0,0.2965549185453152,1.0
liwc_clout,0.7429897761988145,0.41122415892247355,-0.06299476486200917,1.548974317259638,0.07079727471980203,348.0,104.0,0.3097380768991339,1.0
liwc_netspeak,0.5642855029945345,0.32113933030207376,-0.06513601841684247,1.1937070244059114,0.07889461772063354,348.0,104.0,0.3313573944266609,1.0
liwc_numbers,0.6206052186887401,0.37322716349198004,-0.11090657980758334,1.3521170171850634,0.09635081819100205,348.0,104.0,0.38300343013547417,1.0
liwc_certainty,0.5719744553611147,0.34618220606603894,-0.10653020061694507,1.2504791113391744,0.09848659632055048,348.0,104.0,0.38300343013547417,1.0
liwc_six_plus_words,0.5829614076883328,0.36827067046753964,-0.13883584299046337,1.304758658367129,0.11342831194031647,348.0,104.0,0.4206736868184566,1.0
liwc_periods,0.6657107558963007,0.43036363544375755,-0.17778646982918955,1.509207981621791,0.12189786979466853,348.0,104.0,0.4206736868184566,1.0
liwc_comparisons,-0.5426461786941077,0.3520077353917682,-1.2325686623414787,0.14727630495326338,0.12317700540671052,348.0,104.0,0.4206736868184566,1.0
liwc_leisure,-0.5456541428526991,0.36291794697404367,-1.2569602482650417,0.16565196255964365,0.13270518010449395,348.0,104.0,0.4206736868184566,1.0
liwc_reward,-0.513657739238332,0.3448832897626853,-1.1896165660428868,0.16230108756622263,0.13639079268244036,348.0,104.0,0.4206736868184566,1.0
liwc_male,0.5935249183334871,0.4014569838679624,-0.19331631138979677,1.3803661480567708,0.13929347364375674,348.0,104.0,0.4206736868184566,1.0
liwc_religion,0.5051505152841864,0.34468260183928,-0.17041497041836184,1.1807160009867346,0.14277018723633153,348.0,104.0,0.4206736868184566,1.0
liwc_filler_words,0.5041730925267784,0.34457857218874544,-0.17118849880739773,1.1795346838609546,0.1434239930969761,348.0,104.0,0.4206736868184566,1.0
liwc_time_orientation,-0.5408306572909504,0.3703774006233651,-1.266757023200309,0.18509570861840818,0.14423097833775655,348.0,104.0,0.4206736868184566,1.0
liwc_i,-0.5720310008940057,0.4007827255174072,-1.357550708533926,0.21348870674591447,0.15349788573187034,348.0,104.0,0.4356021081580104,1.0
liwc_she_he,0.5494197359273948,0.40393645914550763,-0.2422811760404351,1.3411206478952247,0.173778105645225,348.0,104.0,0.4801763445460165,1.0
liwc_quotes,0.5070417142018188,0.3840198994107708,-0.2456234579899863,1.2597068863936238,0.18671728526066478,348.0,104.0,0.4828292783041502,1.0
liwc_adverbs,-0.5233382574622976,0.3986956358232267,-1.3047673444691192,0.2580908295445241,0.189309004247746,348.0,104.0,0.4828292783041502,1.0
liwc_relativity,-0.5015925105129396,0.38273493242743484,-1.251739193696083,0.24855417267020385,0.19001050818725074,348.0,104.0,0.4828292783041502,1.0
liwc_negations,0.5014631572740572,0.38533469760999955,-0.2537789720351744,1.2567052865832888,0.19313171132166007,348.0,104.0,0.4828292783041502,1.0
